technology,year,CO2 intensity,FOM,VOM,discount rate,efficiency,fuel,investment,lifetime
CCGT,2030,0.187,2.5,4,0.07,0.5,0,800000,30
OCGT,2030,0.187,3.75,3,0.07,0.39,0,400000,30
battery inverter,2030,0,3,0,0.07,0.9,0,411000,20
battery storage,2030,0,0,0,0.07,1,0,192000,15
biomass,2030,0,4.526935,0,0.07,0.468,7,2209000,30
coal,2030,0.354,1.923076,6,0.07,0.464,8.4,1300000,40
electrolysis,2030,0,4,0,0.07,0.8,0,350000,18
natural gas,2030,0.187,0,0,0.07,1,21.6,400000,25
geothermal,2030,0.026,2.358491,0,0.07,0.239,0,3392000,40
hydro,2030,0,1,0,0.07,0.9,0,2000000,80
hydrogen storage,2030,0,0,0,0.07,1,0,11200,20
hydrogen underground storage,2030,0,0,0,0.07,1,0,500,40
nuclear,2030,0,0,8,0.07,0.337,3,6000000,45
offwind,2030,0,2.304878,2.7,0.07,1,0,1640000,30
oil,2030,0.248,1.5,3,0.07,0.393,50,400000,30
ror,2030,0,2,0,0.07,0.9,0,3000000,80
solar-rooftop,2030,0,2,0,0.04,1,0,725000,25
solar-utility,2030,0,3,0,0.07,1,0,425000,25
