,load_MW_2020,load_MW_2050,solar_PV_kW
2020-01-01 00:00:00,18,75,0.0000
2020-01-01 01:00:00,17,75,0.0000
2020-01-01 02:00:00,16,75,0.0000
2020-01-01 03:00:00,16,75,0.0000
2020-01-01 04:00:00,20,75,0.0000
2020-01-01 05:00:00,28,80,0.0000
2020-01-01 06:00:00,37,122.5,0.0015
2020-01-01 07:00:00,34,120,0.0347
2020-01-01 08:00:00,27,60,0.0719
2020-01-01 09:00:00,22,0,0.1394
2020-01-01 10:00:00,16,0,0.2975
2020-01-01 11:00:00,16,37.5,0.4468
2020-01-01 12:00:00,15,75,0.4659
2020-01-01 13:00:00,14,0,0.3040
2020-01-01 14:00:00,14,0,0.1828
2020-01-01 15:00:00,17,120,0.0282
2020-01-01 16:00:00,34,75,0.0736
2020-01-01 17:00:00,53,80,0.0501
2020-01-01 18:00:00,57,242.5,0.0002
2020-01-01 19:00:00,55,240,0.0000
2020-01-01 20:00:00,55,240,0.0000
2020-01-01 21:00:00,46,277.5,0.0000
2020-01-01 22:00:00,35,135,0.0000
2020-01-01 23:00:00,26,75,0.0000
2020-01-02 00:00:00,21,75,0.0000
2020-01-02 01:00:00,20,75,0.0000
2020-01-02 02:00:00,21,75,0.0000
2020-01-02 03:00:00,21,75,0.0000
2020-01-02 04:00:00,25,75,0.0000
2020-01-02 05:00:00,34,80,0.0000
2020-01-02 06:00:00,45,122.5,0.0036
2020-01-02 07:00:00,43,120,0.0630
2020-01-02 08:00:00,40,60,0.1345
2020-01-02 09:00:00,35,0,0.2197
2020-01-02 10:00:00,29,0,0.2584
2020-01-02 11:00:00,28,37.5,0.1901
2020-01-02 12:00:00,26,75,0.2489
2020-01-02 13:00:00,25,0,0.2668
2020-01-02 14:00:00,25,0,0.2479
2020-01-02 15:00:00,27,120,0.1613
2020-01-02 16:00:00,44,75,0.1580
2020-01-02 17:00:00,58,80,0.0708
2020-01-02 18:00:00,60,242.5,0.0068
2020-01-02 19:00:00,58,240,0.0000
2020-01-02 20:00:00,57,240,0.0000
2020-01-02 21:00:00,47,277.5,0.0000
2020-01-02 22:00:00,35,135,0.0000
2020-01-02 23:00:00,24,75,0.0000
2020-01-03 00:00:00,18,75,0.0000
2020-01-03 01:00:00,17,75,0.0000
2020-01-03 02:00:00,17,75,0.0000
2020-01-03 03:00:00,17,75,0.0000
2020-01-03 04:00:00,20,75,0.0000
2020-01-03 05:00:00,29,80,0.0000
2020-01-03 06:00:00,42,122.5,0.0026
